Product Name,Theme,Customer Star Rating,Feedback Excerpt
First Light Vitamin C Caffeine Eye Cream,Skin Reaction / Sensitivity,1,"In the trash. I got a horrible rash on my face, eyes and neck. Had to see my doctor for prednisone and cream. Threw it in the trash"
Fresh Start Lime Pearl Prickly Pear 5 Pha Resurfacing Treatment,Skin Reaction / Sensitivity,2,"Made me breakout :/. I love Three Ships products. I found a routine that cleared up my sensitive skin and made me so happy. This product, however, really damaged my skin and made me break out."
Give Me More Best Sellers,Skin Reaction / Sensitivity,3,Hero caused a rash. Unfortunately my sensitive skin didn’t like the hero serum. 🙁 however the other 3 products in the trial (best sellers) seemed fine for my skin. 🙂
Glow Jojoba Oil Serum,Skin Reaction / Sensitivity,2,Not recommended for sensitive skin!.
Harmony Cucumber Kombucha Microbiome Balancing Cleanser,Skin Reaction / Sensitivity,2,"Burning eyes. I really want to love this cleanser! However, have used it a few times now and it burns my eyes like crazy."
Hydration Cream Lip Duo,Packaging Quality,2,Faulty packaging.
Hydration Day Night Duo,Skin Reaction / Sensitivity,2,Rashing. The cream isn't working out for me. I emailed and no response on customer service. I can't even find my order number. How any
Hydration Morning Duo,Hydration,3,"Not ideal for older skin. Unfortunately, the products made my skin dry so after a week I stopped using them."
Jelly Drops Mushroom Hyaluronic Acid Vitamin C Serum,Texture,3,Not my favourite. I love all of the Three Ships products so far but this is one that I don't think I would order again.
Jelly Drops Sample Sachet,Other Feedback,1,Not for me. This does nothing for my skin so I am hopefully going to be returning it.
Lip Treatment Kit,Hydration,3,"Lip treatment. I love the exfoliator, but I find that the buttercream hydrating mask does not hydrate my lips long enough. I find myself having to supplement it with a chapstick"
Natural Icons Day Night Serum Set,Skin Reaction / Sensitivity,5,"Allergic. Sadly this product didn't work for me, I had an allergic reaction."
Off Duty Sachet,Skin Reaction / Sensitivity,1,"Causes irritation over time. I loved the cooling effect of this eye mask sample, but when I purchased a full pack and started using them regularly they caused irritation to the skin under my eyes."
Off Duty Sea Algae Bio Peptide Smoothing Biodegradable Eye Masks,Skin Reaction / Sensitivity,1,Caused irritation over time. This is the first 3 ships product I have bought that did not work for me.
Purify,Skin Reaction / Sensitivity,1,"Broke me out, irritated my skin. I wanted to love this but I started using it 4 days ago and noticed my skin looks blotchy and feels a bit irritated."
Purify Sample Sachet,Other Feedback,1,Not that great. I purchased this to remove my makeup! After one wash still had makeup on my face so I tried again - nope- makeup still on face .
Radiance Cream Deluxe Mini 10G 6 Pack,Skin Reaction / Sensitivity,2,I’m disappointed. I am so sad that this product doesn’t work for me. It causes burning and causes me to break out in little red bumps :/
Radiance Grape Stem Cell Squalane Day Cream,Texture,3,Not for my oily skin. I don't think this is necessarily a bad product but it's definitely not for my oily skin. It absorbed ok but it made my skin sweat in a weird way almost immediately.
Radiance Sample Sachet,Other Feedback,3,Sachet not useful. I use radiance everyday so this sachet isn’t useful to me. I miss the sample size 10g tubes which I could use for travel.
Refresh Papaya Salicylic Acid Cleanser,Skin Reaction / Sensitivity,1,Broke me out. I wanted to love this product but it broke me out in painful pimples and an itchy rash on my jawline and cheeks.
Replenish Ceramides Blueberry Barrier Repair Serum,Skin Reaction / Sensitivity,2,"Not for me. I wanted this to go well however, when I use this product it leaves my face tingly and red/rashy."
Restore Ceramides Gotu Kola Barrier Repair Cream,Skin Reaction / Sensitivity,2,"Not for me. My skin felt itchy immediately after putting it on, I had to wash it off and not use it again."
Skin Barrier Reset,Packaging Quality,3,Not the best for me. I found the products when combined were too heavy. Replenish also stopped working because the dropper got stuck with product.
Skin Hero Bakuchiol Calendula Bio Retinol Serum,Skin Reaction / Sensitivity,1,Too strong. Exacerating my eczema. I've tried under and over Dream cream with an skin irritation result.
Skinhero™ Sample Sachet,Other Feedback,2,"Unable to test. Awkward little packet, hard to get a sense of what it can do."
Softserve Pomegranate Shea Butter Barrier Building Lip Treatment,Hydration,2,Dry lips. I really thought this was going to be a game changer. But it’s not - I went back to the tried and true “Vaseline”’ to keep my lips hydrated.
Superfruit Exfoliating Mask,Skin Reaction / Sensitivity,1,Made me breakout. I used this mask once and it made me break out all around my chin and mouth. I threw it out.
